Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2013-11-22,1.83636,1.84386,1.76139,1.81387,219.1080827726
2013-11-25,1.81387,1.81387,1.81387,1.81387,12.618790107323
2013-11-26,1.81387,1.81387,1.81387,1.81387,39.003533058997
2013-11-27,1.81387,1.81387,1.71641,1.78397,1269.9091498915
2013-11-28,1.72391,1.79888,1.72391,1.79888,546.04946282596
2013-11-29,1.72391,1.80637,1.72391,1.80637,139.95385391758
2013-12-02,1.79888,1.79888,1.72391,1.79888,79.154228855023
2013-12-03,1.79888,1.79888,1.79888,1.79888,32.120556636821
2013-12-04,1.79888,1.79888,1.79888,1.79888,12.618790107323
2013-12-05,1.79888,1.79888,1.79888,1.79888,26.384742951674
2013-12-06,1.79888,1.79888,1.79888,1.79888,60.799625062554
2013-12-09,1.79146,1.79146,1.72391,1.72391,20.648929266528
2013-12-10,1.74648,1.80637,1.74648,1.80637,649.2941091586
2013-12-11,1.79888,1.81387,1.79888,1.81387,227.13822193181
2013-12-12,1.82145,1.84386,1.82145,1.84386,1015.239022271
2013-12-13,1.84386,1.84386,1.84386,1.84386,12.618790107323
2013-12-16,1.84386,1.84386,1.84386,1.84386,12.618790107323
2013-12-17,1.85135,1.85135,1.74648,1.74648,827.10433339814
2013-12-18,1.77639,1.79888,1.68643,1.72391,3091.603576294
2013-12-19,1.76139,1.76139,1.76139,1.76139,135.36520296946
2013-12-20,1.76139,1.79146,1.68643,1.79146,303.99812531277
2013-12-23,1.79888,1.79888,1.79888,1.79888,12.618790107323
2013-12-27,1.79146,1.79146,1.79146,1.79146,41.297858533056
2013-12-30,1.79146,1.79888,1.79146,1.79888,68.829764221759
2014-01-02,1.77639,1.77639,1.77639,1.77639,26.384742951674
2014-01-03,1.77639,1.77639,1.68643,1.75398,427.89170091194
2014-01-07,1.76139,1.77639,1.76139,1.77639,135.36520296946
2014-01-08,1.78397,1.79146,1.78397,1.79146,135.36520296946
2014-01-10,1.76139,1.76139,1.76139,1.76139,26.384742951674
2014-01-13,1.77639,1.77639,1.68643,1.7688,391.182493327
2014-01-14,1.77639,1.77639,1.77639,1.77639,32.120556636821
2014-01-15,1.77639,1.77639,1.77639,1.77639,26.384742951674
2014-01-16,1.77639,1.78397,1.77639,1.78397,61.946787799584
2014-01-31,1.79888,1.79888,1.78397,1.78397,80.301391592053
2014-02-03,1.78397,1.79146,1.78397,1.79146,134.21804023243
2014-02-04,1.79146,1.79888,1.79146,1.79888,119.30492465105
2014-02-05,1.80637,1.80637,1.80637,1.80637,20.648929266528
2014-02-06,1.80637,1.80637,1.80637,1.80637,5.7358136851466
2014-02-07,1.80637,1.81387,1.80637,1.81387,127.33506381026
2014-02-10,1.81387,1.81387,1.79888,1.79888,279.90770783516
2014-02-11,1.79888,1.79888,1.79888,1.79888,144.54250486569
2014-02-12,1.81387,1.81387,1.79888,1.79888,119.30492465105
2014-02-13,1.81387,1.81387,1.81387,1.81387,42.445021270085
2014-02-14,1.81387,1.81387,1.81387,1.81387,5.7358136851466
2014-02-17,1.81387,1.81387,1.81387,1.81387,26.384742951674
2014-02-18,1.81387,1.81387,1.81387,1.81387,12.618790107323
2014-02-19,1.81387,1.81387,1.81387,1.81387,5.7358136851466
2014-02-20,1.81387,1.81387,1.81387,1.81387,32.120556636821
2014-02-21,1.81387,1.81387,1.81387,1.81387,12.618790107323
2014-02-24,1.81387,1.81387,1.81387,1.81387,26.384742951674
2014-02-25,1.81387,1.81387,1.76139,1.81387,27.531905688704
2014-02-26,1.80637,1.80637,1.80637,1.80637,401.50695796026
2014-02-27,1.81387,1.81387,1.81387,1.81387,32.120556636821
2014-02-28,1.81387,1.81387,1.81387,1.81387,20.648929266528
2014-03-03,1.81387,1.81387,1.81387,1.81387,12.618790107323
2014-03-04,1.81387,1.81387,1.76139,1.80637,166.33859686925
2014-03-05,1.81387,1.81387,1.81387,1.81387,32.120556636821
2014-03-06,1.81387,1.81387,1.81387,1.81387,32.120556636821
2014-03-07,1.81387,1.81387,1.81387,1.81387,12.618790107323
2014-03-10,1.81387,1.81387,1.81387,1.81387,20.648929266528
2014-03-11,1.81387,1.81387,1.81387,1.81387,32.120556636821
2014-03-12,1.81387,1.81387,1.81387,1.81387,26.384742951674
2014-03-13,1.79888,1.79888,1.79888,1.79888,666.50155021404
2014-03-17,1.76139,1.76139,1.76139,1.76139,5.7358136851466
2014-03-18,1.76139,1.76139,1.76139,1.76139,69.976926958789
2014-03-20,1.72391,1.72391,1.72391,1.72391,1.1471627370293
2014-03-24,1.72391,1.72391,1.709,1.709,12.618790107323
2014-03-25,1.72391,1.7688,1.72391,1.7688,908.55288772722
2014-03-31,1.75398,1.75398,1.75398,1.75398,1.1471627370293
2014-04-02,1.75398,1.75398,1.75398,1.75398,5.7358136851466
2014-04-08,1.75398,1.75398,1.75398,1.75398,24.090417477616
2014-04-09,1.75398,1.75398,1.72391,1.72391,401.50695796026
2014-04-15,1.76139,1.79888,1.72391,1.72391,135.36520296946
2014-04-16,1.72391,1.78397,1.7015,1.76139,666.50155021404
2014-04-22,1.76139,1.77639,1.76139,1.77639,60.799625062554
2014-04-30,1.78397,1.94881,1.78397,1.94881,2815.13735667
2014-05-02,2.02378,2.24109,1.93382,2.24109,1081.7744610187
2014-05-05,2.24109,2.24109,2.2261,2.24109,1399.5385391758
2014-05-06,2.24109,2.24109,2.24109,2.24109,12.618790107323
2014-05-07,2.24109,2.24109,2.20361,2.23369,186.98752613578
2014-05-09,2.09875,2.23369,2.09875,2.23369,145.68966760272
2014-05-12,2.24109,2.24109,2.09875,2.17362,777.77633570588
2014-05-13,2.06135,2.09875,2.03868,2.09875,868.4021919312
2014-05-19,2.00879,2.05377,1.9788,2.05377,369.38640132344
2014-05-23,2.06135,2.09875,2.06135,2.09875,145.68966760272
2014-05-26,2.06135,2.12114,2.06135,2.12114,519.66471987428
2014-05-27,2.13614,2.13614,2.13614,2.13614,1.1471627370293
2014-05-29,2.15863,2.15863,2.15863,2.15863,26.384742951674
2014-05-30,2.15863,2.15863,2.15863,2.15863,12.618790107323
2014-06-02,2.17362,2.18871,2.17362,2.18871,131.92371475837
2014-06-05,2.1962,2.1962,2.1962,2.1962,6.8829764221759
2014-06-06,2.1962,2.1962,2.1962,2.1962,12.618790107323
2014-06-09,2.1962,2.1962,2.1962,2.1962,12.618790107323
2014-06-10,2.1962,2.1962,2.1962,2.1962,26.384742951674
2014-06-11,2.1962,2.1962,2.1962,2.1962,12.618790107323
2014-06-12,2.1962,2.1962,2.1962,2.1962,5.7358136851466
2014-06-13,2.1962,2.1962,2.1962,2.1962,26.384742951674
2014-06-16,2.1962,2.1962,2.1962,2.1962,12.618790107323
2014-06-17,2.1962,2.1962,2.1962,2.1962,12.618790107323
2014-06-18,2.1962,2.1962,2.1962,2.1962,26.384742951674
2014-06-20,2.1962,2.1962,2.1962,2.1962,5.7358136851466
2014-06-23,2.1962,2.1962,2.1962,2.1962,86.037205277199
2014-06-24,2.1962,2.1962,2.1962,2.1962,5.7358136851466
2014-06-25,2.1962,2.1962,2.1962,2.1962,12.618790107323
2014-06-26,2.1962,2.1962,2.1962,2.1962,5.7358136851466
2014-06-27,2.1962,2.1962,2.1962,2.1962,26.384742951674
2014-06-30,2.1962,2.1962,2.1962,2.1962,12.618790107323
2014-07-01,2.1962,2.1962,2.1962,2.1962,26.384742951674
2014-07-02,2.1962,2.1962,2.1962,2.1962,12.618790107323
2014-07-03,2.18871,2.18871,2.18871,2.18871,333.82435647553
2014-07-04,2.18871,2.18871,2.18871,2.18871,53.916648640378
2014-07-07,2.18871,2.18871,2.18121,2.18121,869.54935466823
2014-07-08,2.18121,2.18121,2.18121,2.18121,12.618790107323
2014-07-09,2.18121,2.18121,2.18121,2.18121,12.618790107323
2014-07-10,2.18121,2.18121,2.18121,2.18121,41.297858533056
2014-07-11,2.18121,2.18121,2.18121,2.18121,12.618790107323
2014-07-14,2.18121,2.18121,2.18121,2.18121,12.618790107323
2014-07-15,2.18121,2.18121,2.18121,2.18121,32.120556636821
2014-07-16,2.18121,2.18871,2.18121,2.18871,172.0744105544
2014-07-17,2.2112,2.2261,2.2112,2.2261,203.04780445419
2014-07-18,2.2112,2.2112,2.2112,2.2112,12.618790107323
2014-07-21,2.2112,2.2112,2.2112,2.2112,12.618790107323
2014-07-22,2.2112,2.2112,2.2112,2.2112,12.618790107323
2014-07-23,2.2112,2.2112,2.2112,2.2112,12.618790107323
